"naimenovanie_investora";"rayon";"naimenovanie";"sroki_realizatsii";"obem_investitsiy_zaplanirovannyy";"rabochie_mesta_zaplanirovannye"
"ОАО «Щекиноазот»";"Щекинский р-н";"Строительство комплекса  по производству аммиака мощностью 525 тыс. тонн в год  и карбамида мощностью 700 тыс. тонн в год";"30.06.2024";"40000";"386"
"ООО «Три Эс Новая Тула»";"г. Тула";"Проект комплексного освоения территории в целях жилищного строительства «Новая Тула»";"31.12.2030";"40000";"250"
"ООО «Черкизово-МП»";"ТОСЭР «Ефремов»";"Строительство завода по убою, первичной и последующей переработке свиньи";"31.12.2023";"30000";"2200"
"ООО «ВБ Алексин»";"ТОСЭР «Алексин»";"Строительство центра обеспечения омниканальной торговли";"";"22000";"15000"
"ООО «ХММР»";"ИП «Узловая»";"Локализация производства двигателей внутреннего сгорания, компонентов шасси, элементов интерьера и экстерьера";"31.12.2022";"20000";"500"
"АО МХК «ЕвроХим»";"г. Новомосковск";"Реализации на дочерних, зависимых предприятиях АО «МХК «ЕвроХим» в Тульской области - АО «Новомосковская акционерная компания «АЗОТ» и ООО «Новомосковский Хлор» инвестиционных проектов";"";"17000";""
"ООО «ЕВРАЗ Узловая»";"ОЭЗ ППТ «Узловая»";"Строительство производства легирующих добавок для выплавки сверхпрочной стали различного назначения, титановых сплавов";"31.12.2024";"11143";"501"
"ООО  «Полипласт Новомосковск»";"г. Новомосковск  ";"Создание производственного комплекса по выпуску высокомолекулярных термостабильных полимеров для отрасли строительных материалов в рамках программы импортозамещения  ";"01.01.2025";"9000";"150"
"ООО «Куриное царство»";"ТОСЭР «Ефремов»";"Строительство завода по убою, первичной и последующей переработке бройлеров";"31.12.2024";"8400";"1000"
"ООО «Щекинская ГРЭС»";"Щекинский р-н";"Реконструкция энергоблока №1";"31.12.2024";"7500";"30"
"АО «Щекиноазот»";"Щекинский р-н";"Строительство комплекса производства азотной кислоты мощностью 270 тыс. т/год и аммиачной селитры мощностью 340 тыс. т/год, осуществляемого на территории промышленной площадки ОАО «Щекиноазот» (Щекинский район, р.п. Первомайский)";"01.04.2022";"6500";"92"
"ООО «Кубаньмасло -  Ефремовский маслозавод»";"г. Ефремов";"Строительство производства по переработке рапса и сои";"30.12.2022";"4000";"120"
"ООО «Компас Фудс»";"г. Ефремов";"Реконструкция завода по производству замороженных полуфабрикатов из мяса птицы";"31.12.2022";"3900";"147"
"ООО «Халмек Литиум»";"Узловский район";"Разработка, строительство и ввод в эксплуатацию гидрометаллургического завода по производству соединений лития";"30.12.2022";"3650";"135"
"ПАО «Группа Черкизово»";"г. Ефремов";"Развитие перерабатывающего пищевого кластера на территории Тульской области";"31.12.2025";"3000";"100"
"ООО «Киреевский солепромысел»";"Киреевский район";"Строительство завода по производству соли класса «Экстра» объемом выпуска 160 тысяч тонн готовой продукции в год";"31.12.2025";"3000";"100"
"ОАО «Щекиноазот»";"Щекинский р-н";"Строительство производств концентри-рованного малометанольного формалина мощностью 110 тыс. тонн в год (КММФ-110), карбамидоформальдегидных смол (КФС) и карбамидо-меламиноформальдегидных смол (КМФС) мощностью 220 тыс.тонн в год";"01.03.2024";"2800";"46"
"ООО «Тулома Салмон»";"г. Алексин";"Создание завода по выращиванию атлантического лосося";"31.12.2030";"2700";"51"
"ООО «Инвестиционная Торговая компания» (Мичуринская мукомольная компания)";"г. Тула";"Реконструкция ООО «Тульский хлебокомбинат», включающий увеличение производственных площадей на 9200 кв. м., установку новых автоматизированных линий по производству продукции, расширению ассортимента и увеличению объемов производства выпускаемой продукции»";"30.12.2022";"2500";"520"
"ООО «ЗГПМ Лактопром»";"г. Алексин";"Трехстороннее соглашение о сотрудничестве при реализации проекта по строительству завода по глубокой переработке молока";"31.06.2022";"2200";"120"
"ООО «Аэрозоль Новомосковск» и ООО «Юнилевер Русь»";"г. Новомосковск  ";"Организация экспортно-ориентированного контрактного производства готовой косметической продукции и товаров бытовой химии по месту нахождения ООО «Аэрозоль Новомосковск»";"01.01.2023";"2000";"30"
"ООО «БиоКор»";"г. Ефремов";"Строительство биотехнологического комбината по глубокой переработке фуражных зерновых культур";"30.12.2025";"1900";"97"
"ООО «Возрождение»";"г. Ефремов";"Строительство элеваторного комплекса";"01.06.2022";"1600";"70"
"ООО ПП «Мехмаш»";"г. Тула";"Производство для нефтегазовой промышленности";"01.01.2023";"1500";"800"
"ИП Глава КФХ Аветисян Манук Жульевич";"Веневский р-н";"Развитие материально-технической базы предприятия и строительство завода по производству картофельных хлопьев";"31.12.2022";"1500";"150"
"ООО «Тау Фарм»";"г. Ефремов";"Создание инновационного рыбоводческого хозяйства по выращиванию рыбы";"31.12.2025";"1500";"97"
"ООО «Мираторг-Орел»";"Плавский р-н";"Строительство мощностей по переработке плодоовощной  продукции и  картофеля в Тульской области";"31.12.2027";"1280";"91"
"ООО «Тульская мясная компания»";"Куркинский р-н";"Свиноводческий комплекс АГРОЭКО. Предприятие по производству комбикорма (3,4 этапы строительства)";"31.03.2024";"1200";"10"
"ООО «Воловская техника»";"Воловский район";"Строительство элеваторного комплекса";"31.12.2022";"1100";"50"
"ООО «Промет-СЭЗ»";"Узловский район";"Организация производства офисных, складских и полу грузовых  стеллажей из металла";"31.05.2022";"1099";"487"
"ООО «Агрофармтрест»";"Суворовский р-н";"Развитие диверсифицированного производства, включающего создание племенной базы КРС молочного направления, мощностей по переработке молока, а также производства спортивного питания";"31.12.2024";"1000";"100"
"ООО «Алексинская бумажно-картонная фабрика»";"г. Алексин";"Проект№1 - Строительство локальных очистных сооружений   Проект №2 - Увеличение производительности КДМ до 145 000 тн.";"31.12.2022";"970";"11"
"ООО «Максим Горький плюс»";"Чернский район";"Строительство 3-й очереди по производству картофельных хлопьев";"31.12.2022";"890";"50"
"ООО «АПК АЛЕКСИН-А»";"г. Алексин";"Производство строительного щебня на базе Рюриковского месторождения известняко";"31.12.2022";"724";"106"
"ООО «ИЭК-Холдинг»";"Ясногорский р-н";"Модернизация производства металлокорпусов ЩМП (щита с монтажной панелью)";"20.04.2025";"750";"39"
"ООО «Юкка Парк»";"Куркинский район";"Закладка садов суперинтенсивного типа площадью 250 гектаров и строительство плодохранилища на 5 тысяч тон единовременного хранения";"31.12.2025";"700";"50"
"ООО «Авиаген»";"г. Алексин";"Строительство двух птичников";"31.12.2024";"700";"60"
"ООО «МЛ Групп»";"Узловский район";"Создание производства упаковочных материалов на основе алюминиевой фольги";"31.12.2026";"642";"35"
"ООО «Спасское» им. В.А. Стародубцева";"Кимовский район";"Строительство гидромелиоративных систем";"31.12.2024";"600";""
"ООО «НПП ЛИО-продукт»";"Узловский район";"Организация производства лиофилизированных продуктов питания в городе Узловая";"30.09.2023";"522";"73"
"ОАО «Щекиноазот»";"Щекинский район";"Организация производства нетканого материала по технологии «Спанбонд» с возможностью производства многослойного нетканого материала для медицинских целей с использованием технологии «Мельтблаун» (спанбонд, SSMS) мощностью 8 640 тонн в год";"03.06.2023";"520";"49"
"ООО «БИЛАГРО»";"Ясногорский р-н";"Строительство оленеводческого комплекса замкнутого типа";"30.12.2023";"500";"200"
"ООО «САФ-НЕВА»";"Узловский район";"Реконструкция сушильного отделения";"01.06.2022";"500";"4"
